videoID,textDisplay,textOriginal,authorDisplayName,authorChannelId,publishedAt,preprocessed_text
U3MF2-WyrkU,"Attitudinal change is the need of the hour for good by Pakistan by surrendering pok to us, put a complete halt for terrorism activities on India and learn humanity. Otherwise they continue to be ungrateful despite taking our help. Indians in Pakistan are forcefully converted since partition whereas muslims in India are growing in great proportions but still they are not happy and their loyalty is to Pakistan despite enjoying all freedom and benefits to the fullest extent. Muslims have become Presidents and vice Presidents here due to our secular mindset.","Attitudinal change is the need of the hour for good by Pakistan by surrendering pok to us, put a complete halt for terrorism activities on India and learn humanity. Otherwise they continue to be ungrateful despite taking our help. Indians in Pakistan are forcefully converted since partition whereas muslims in India are growing in great proportions but still they are not happy and their loyalty is to Pakistan despite enjoying all freedom and benefits to the fullest extent. Muslims have become Presidents and vice Presidents here due to our secular mindset.",Jayaramkj Karna,UCPuG8xs9dgd88jLB99OQEvg,2022-09-13T04:09:30Z,attitudinal change is the need of the hour for good by pakistan by surrendering pok to u put complete halt for terrorism activity on india and learn humanity otherwise they continue to be ungrateful despite taking our help indian in pakistan are forcefully converted since partition whereas muslim in india are growing in great proportion but still they are not happy and their loyalty is to pakistan despite enjoying all freedom and benefit to the fullest extent muslim have become president and vice president here due to our secular mindset 
U3MF2-WyrkU,We shouldn&#39;t laugh on Pak but we must learn from others&#39; mistakes as per Chanakya.,We shouldn't laugh on Pak but we must learn from others' mistakes as per Chanakya.,RUDRANATH RAY,UCfAWIZ6QRT15yMli1KOyzYg,2022-09-13T04:13:22Z,we shouldn laugh on pak but we must learn from others mistake a per chanakya 
U3MF2-WyrkU,"For the last 75 years nothing has changed, same old corruption, terrorism, Kashmir issue and hatred towards the neighbours. Future is bright.......","For the last 75 years nothing has changed, same old corruption, terrorism, Kashmir issue and hatred towards the neighbours. Future is bright.......",The 8 Layer Man,UC3D6GNseK-E1qW1URBz5JBg,2022-09-13T00:28:14Z,for the last 75 year nothing ha changed same old corruption terrorism kashmir issue and hatred towards the neighbour future is bright 
U3MF2-WyrkU,"Should not give appointment, should not help. We have learnt from Bangladesh. We liberated Bangladesh, now see the Hindu, Sikh, Buddhist, Jain Genocide.","Should not give appointment, should not help. We have learnt from Bangladesh. We liberated Bangladesh, now see the Hindu, Sikh, Buddhist, Jain Genocide.",Arvind kamath,UCBVqfvM8BhXiT8yVa9d573w,2022-09-12T19:25:37Z,should not give appointment should not help we have learnt from bangladesh we liberated bangladesh now see the hindu sikh buddhist jain genocide 
U3MF2-WyrkU,India should not get into emotional trap. Channels are giving too much importance to this issue for TRP. Govt of India should not give any appointments to Pak PM without pre decided agenda,India should not get into emotional trap. Channels are giving too much importance to this issue for TRP. Govt of India should not give any appointments to Pak PM without pre decided agenda,Naresh Kumar,UCjEnXQ8RiK35p-fvzuId-iA,2022-09-13T02:20:50Z,india should not get into emotional trap channel are giving too much importance to this issue for trp govt of india should not give any appointment to pak pm without pre decided agenda 
U3MF2-WyrkU,"THE SITUATION HAS CHANGED,  HINDUSTAN IS NOT DEPENDENT ON MIDDLE EAST,  MIDDLE EAST IS DEPENDENT ON HINDUSTAN, AND WE ARE GETTING CHEAP PETORL FROM RUSSIA AND IRAQ.","THE SITUATION HAS CHANGED,  HINDUSTAN IS NOT DEPENDENT ON MIDDLE EAST,  MIDDLE EAST IS DEPENDENT ON HINDUSTAN, AND WE ARE GETTING CHEAP PETORL FROM RUSSIA AND IRAQ.",Kumaran Subramanian,UC5kgToUtVombDpYB5LQeZ7A,2022-09-13T00:19:01Z,the situation ha changed hindustan is not dependent on middle east middle east is dependent on hindustan and we are getting cheap petorl from russia and iraq 
U3MF2-WyrkU,Don&#39;t trust them If they says We have 57 Islamic Country So Why wanna help from Hindustan. &amp; what about Saudi arabia It&#39;s rich Country right? Then Why pakistan&#39;s didn&#39;t asked for help to habibis...,Don't trust them If they says We have 57 Islamic Country So Why wanna help from Hindustan. & what about Saudi arabia It's rich Country right? Then Why pakistan's didn't asked for help to habibis...,₮ꀎꌗꃅ₳ᖇ,UCErgUVvfcWIykp1Y0DvKbww,2022-09-13T02:35:15Z,don trust them if they say we have 57 islamic country so why wanna help from hindustan what about saudi arabia it rich country right then why pakistan didn asked for help to habibis 
U3MF2-WyrkU,India may help Pakistan Government subject to the condition that they shall surrender the PoK area to India unconditionally and ban terrorist activity totally. Most of the help should be in kind only.,India may help Pakistan Government subject to the condition that they shall surrender the PoK area to India unconditionally and ban terrorist activity totally. Most of the help should be in kind only.,K L Verma,UCdaURWqtddyDJXBm8Zh8Dmw,2022-09-13T03:39:21Z,india may help pakistan government subject to the condition that they shall surrender the pok area to india unconditionally and ban terrorist activity totally most of the help should be in kind only 
U3MF2-WyrkU,"no help at any cost to Pakistan Modi ji , please please please","no help at any cost to Pakistan Modi ji , please please please",ashok mudgal,UC58qgT-lf2A-PgnvINtI2fQ,2022-09-12T19:06:16Z,no help at any cost to pakistan modi ji please please please 
U3MF2-WyrkU,Modi should not meet Pakistan PM.,Modi should not meet Pakistan PM.,Vrinda Pai,UCAT5Um5Q-wKY9XGIRZAW--g,2022-09-12T19:38:40Z,modi should not meet pakistan pm 
U3MF2-WyrkU,God bless pm Modi and....,God bless pm Modi and....,Samir ranjan Guha,UCSUtr4YyLn-SLvlGFtj7SQA,2022-09-12T19:59:50Z,god bless pm modi and 
U3MF2-WyrkU,"2 trillion was blown by USA between Afghanistan and pakistan <br>50B plus invested by China, no return on investment <br>Pakistan is a country that never returns anything for investers","2 trillion was blown by USA between Afghanistan and pakistan 
50B plus invested by China, no return on investment 
Pakistan is a country that never returns anything for investers",Ravi Patil,UCVTqWIGqQ52AEvEQUKACEqw,2022-09-12T22:40:25Z,trillion wa blown by usa between afghanistan and pakistan 50b plus invested by china no return on investment pakistan is country that never return anything for investers 
U3MF2-WyrkU,How can they buy weapons instead of helping their agggrived citizens? They want to collect whatever possible.Big big liars. At the most they should be given direct food and rescue help in the name of humanity .,How can they buy weapons instead of helping their agggrived citizens? They want to collect whatever possible.Big big liars. At the most they should be given direct food and rescue help in the name of humanity .,Vijaya Bidri,UCyhjDG2wOjolJaf_zN3YEHw,2022-09-13T03:20:15Z,how can they buy weapon instead of helping their aggrived citizen they want to collect whatever possible big big liar at the most they should be given direct food and rescue help in the name of humanity 
U3MF2-WyrkU,Mr PM teach a lesson to Pakistani leaders and his supporters and army.......,Mr PM teach a lesson to Pakistani leaders and his supporters and army.......,pk singh,UCUM2M2Sa16VHoqRm9Msk0Zg,2022-09-13T03:35:38Z,mr pm teach lesson to pakistani leader and his supporter and army 
U3MF2-WyrkU,We really proud of our nation and our pm modiji,We really proud of our nation and our pm modiji,Prakash Sambrekar,UCo4h4m3Gha6i9OHSKb_TVvA,2022-09-14T02:50:08Z,we really proud of our nation and our pm modiji 
U3MF2-WyrkU,"India helped many times, what they did, Mumbai terror attacks, exporting terror to India, defaming India inside  and out side Pakistan .. Ungrateful  country, India should be tough negotiator, not listening to sweet words of any country..","India helped many times, what they did, Mumbai terror attacks, exporting terror to India, defaming India inside  and out side Pakistan .. Ungrateful  country, India should be tough negotiator, not listening to sweet words of any country..",NARAYANAYYA H,UCJcLfeQWzSkMsO8oXB0n9og,2022-09-13T01:47:13Z,india helped many time what they did mumbai terror attack exporting terror to india defaming india inside and out side pakistan ungrateful country india should be tough negotiator not listening to sweet word of any country 
U3MF2-WyrkU,"All that the Pakistan should understand,” what we sow ,what we reap.”.","All that the Pakistan should understand,” what we sow ,what we reap.”.",Devidas Borkar,UCbmxkx8b_p2FNkj2_yoxbCQ,2022-09-14T05:19:28Z,all that the pakistan should understand what we sow what we reap 
U3MF2-WyrkU,Modi must meet Sharif. only with a conditione .Modi must ask Shabazz to return POK PEACEFULLY AND STOP TERRORISM. Otherwise refuge to meet him.,Modi must meet Sharif. only with a conditione .Modi must ask Shabazz to return POK PEACEFULLY AND STOP TERRORISM. Otherwise refuge to meet him.,Virendra Saxena,UCSv9GrLDWE1GCbuKJp-kc1w,2022-09-13T23:16:31Z,modi must meet sharif only with conditione modi must ask shabazz to return pok peacefully and stop terrorism otherwise refuge to meet him 
U3MF2-WyrkU,"Islam ka lu d lo Pakistan, sab theek ho jayega 😂😂😂😂😂😂😂","Islam ka lu d lo Pakistan, sab theek ho jayega 😂😂😂😂😂😂😂",Invincible India,UCI5W7nNJXLkNMoanG0SLn-g,2022-09-12T20:45:43Z,islam ka lu lo pakistan sab theek ho jayega 
U3MF2-WyrkU,"unless needy  country  change to humanity  leaving  original philosophy of religion, then it qualify for help from other country","unless needy  country  change to humanity  leaving  original philosophy of religion, then it qualify for help from other country",KRIPA SHANKAR TIWARI,UC44M6u5tp0vQwFGHk44wZ1A,2022-09-13T01:03:29Z,unless needy country change to humanity leaving original philosophy of religion then it qualify for help from other country 
U3MF2-WyrkU,Just imagine -- India without modi.....🤔🤔🤔🤔🤔,Just imagine -- India without modi.....🤔🤔🤔🤔🤔,Aditya Gadhvi,UCdCr3JrokYc2Ks3O4IEQ0ZQ,2022-09-13T13:07:39Z,just imagine india without modi 
U3MF2-WyrkU,"Yes, Modi is the heart of Hindustani citizens ..","Yes, Modi is the heart of Hindustani citizens ..",Kamaleswar Bordoloi,UCUYttmeTy16wxommmyzqgQg,2022-09-13T03:46:15Z,yes modi is the heart of hindustani citizen 
U3MF2-WyrkU,Pakistan in this condition is ALLAH&#39;s wish,Pakistan in this condition is ALLAH's wish,Murusegar Thiyagarajan,UCvpBn9emFY_OlpuNz_BCsJA,2022-09-13T01:47:02Z,pakistan in this condition is allah wish 
U3MF2-WyrkU,"If India wants to safe itself, first of all ruled out all Muslim.... Besides it nothing 🙏🇮🇳🙏","If India wants to safe itself, first of all ruled out all Muslim.... Besides it nothing 🙏🇮🇳🙏",Sanjay Prakash,UC1ybI6NHjedMQWTsO3C-vug,2022-09-13T11:58:59Z,if india want to safe itself first of all ruled out all muslim besides it nothing 
U3MF2-WyrkU,Don&#39;t help the country which always stands as enemy always as a neighbouring country.,Don't help the country which always stands as enemy always as a neighbouring country.,Ashok kumar Das,UCZx7NFWR0l-eZpn3VEtB49w,2022-09-13T11:01:58Z,don help the country which always stand a enemy always a neighbouring country 
U3MF2-WyrkU,"Success is the best revenge of all, that&#39;s Bharat.","Success is the best revenge of all, that's Bharat.",RONY MONDAL,UCpEiKsPhToN221KULx_e6NA,2022-09-13T04:31:21Z,success is the best revenge of all that bharat 
U3MF2-WyrkU,"Good suggestion made about 2.5 minutes, after the discussion started.","Good suggestion made about 2.5 minutes, after the discussion started.",ALOK KUMAR,UCvJhZh4GE4OZmehzKYXPljQ,2022-09-15T16:58:16Z,good suggestion made about minute after the discussion started 
U3MF2-WyrkU,"modi is the original businessman, he is doing business for his country&#39;s people. pakistan&#39;s leaders&#39; only aim is how to <br>demoralize Modi. pakistan must stop the Kashmir issue, India solved that problem.","modi is the original businessman, he is doing business for his country's people. pakistan's leaders' only aim is how to 
demoralize Modi. pakistan must stop the Kashmir issue, India solved that problem.",Kumaran Subramanian,UC5kgToUtVombDpYB5LQeZ7A,2022-09-13T00:13:22Z,modi is the original businessman he is doing business for his country people pakistan leader only aim is how to demoralize modi pakistan must stop the kashmir issue india solved that problem 
U3MF2-WyrkU,"in my humble opinion Bharat should not give any type of help in any form,you cannot take any kind of risk with the future of our beloved Bharat.umesh.","in my humble opinion Bharat should not give any type of help in any form,you cannot take any kind of risk with the future of our beloved Bharat.umesh.",Umesh Chandra,UC48udD-5f94C9oXhl6tTq_w,2022-09-12T20:35:11Z,in my humble opinion bharat should not give any type of help in any form you cannot take any kind of risk with the future of our beloved bharat umesh 
U3MF2-WyrkU,"Help on condition, that &quot;Pakistan Military&quot; to be dissolved.","Help on condition, that ""Pakistan Military"" to be dissolved.",Logical.,UCezlFEYR4F-t_V-kG1Vsk6A,2022-09-13T01:52:44Z,help on condition that pakistan military to be dissolved 
U3MF2-WyrkU,language could have been batter for thumbnail....never makes fun and enjoy someone misery....kya hua dusham hai... Hindu ki dukan kholne walo ye hinduism ki first  teaching me se hai...,language could have been batter for thumbnail....never makes fun and enjoy someone misery....kya hua dusham hai... Hindu ki dukan kholne walo ye hinduism ki first  teaching me se hai...,vipin sirmour,UCOOiPPb71ZkLV1w-olQxW-A,2022-09-13T08:28:41Z,language could have been batter for thumbnail never make fun and enjoy someone misery kya hua dusham hai hindu ki dukan kholne walo ye hinduism ki first teaching me se hai 
L_y8QEX5uTg,"Love this so glad to hear Iran will be joining the SCO. The White House has already issued threats to China, they still haven&#39;t realized they&#39;ve lost control.","Love this so glad to hear Iran will be joining the SCO. The White House has already issued threats to China, they still haven't realized they've lost control.",Justin Jonathon,UCWHfMSWBUShf4bwc4-ryT0A,2022-09-15T22:53:21Z,love this so glad to hear iran will be joining the sco the white house ha already issued threat to china they still haven realized they ve lost control 
L_y8QEX5uTg,Pepe Escobar should be interviewed on this.,Pepe Escobar should be interviewed on this.,Cr Hu,UC0b1peapZ1GpuC_ziSRSSkw,2022-09-15T17:44:34Z,pepe escobar should be interviewed on this 
L_y8QEX5uTg,As described in Brzezinski&#39;s book in 1997,As described in Brzezinski's book in 1997,吕栋任,UCLxfYiXRXxYL8_2XmCQh4OA,2022-09-15T17:49:28Z,a described in brzezinski book in 1997 
L_y8QEX5uTg,"Ley Xi learn from the invasion of Ukrain,","Ley Xi learn from the invasion of Ukrain,",CRS Joute,UCmpwy25w1R9vkrKP6xebkCA,2022-09-15T19:20:51Z,ley xi learn from the invasion of ukrain 
L_y8QEX5uTg,"china need to take care her civilian first, the storm will come continuously one and one again","china need to take care her civilian first, the storm will come continuously one and one again",Oung Jana,UCX8GRDmxCX6naNAqvAQrN1A,2022-09-15T18:36:37Z,china need to take care her civilian first the storm will come continuously one and one again 
L_y8QEX5uTg,Am glad that you say that u have so much in common.,Am glad that you say that u have so much in common.,Joseph Kelly,UC36cVcD16967VmbNBVoK1Aw,2022-09-15T18:16:57Z,am glad that you say that have so much in common 
L_y8QEX5uTg,"Putin , your momma real proud of you kid.","Putin , your momma real proud of you kid.",Haleema Hussain,UCX0g3cRSXzh50zEDkTsFkZw,2022-09-15T21:24:26Z,putin your momma real proud of you kid 
L_y8QEX5uTg,Putler is the shortest🤣,Putler is the shortest🤣,China Virus killed 7M People,UCtkck5WM1n-pK5bEu14sktA,2022-09-16T02:31:23Z,putler is the shortest 
L_y8QEX5uTg,"American arrogance and double standards shine ever so bright among themselves, oblivious to their decline in the real world.","American arrogance and double standards shine ever so bright among themselves, oblivious to their decline in the real world.",JC69,UCMcJKgUxXE8iKEHAlpnzzhg,2022-09-15T20:58:33Z,american arrogance and double standard shine ever so bright among themselves oblivious to their decline in the real world 
