,user_id,username,id,date,Tweet,lang,replyCount,followersCount
0,364176979,tweety_annu,1569600824711716865,2022-09-13 08:16:13+00:00,#TAEHYUNGxVOGUE #Nifty #StockMarket #GyanvapiCase #OptionsTrading #OptionsBuying,qht,0,507
1,1212828613092859904,NationEveryday,1569600756898230277,2022-09-13 08:15:56+00:00,"कोर्ट के ज्ञानवापी के निर्णय पर PDP प्रमुख महबूबा मुफ्ती ने अफ़सोस जताया
#ज्ञानवापी #GyanvapiCase",hi,0,1980
2,972059456,Captaindksingh,1569600603030188033,2022-09-13 08:15:20+00:00,"NAMASTE SADA VASTALE MATRUBHUME
N
Sat Sat Naman 2youngest revolutionary Jatindra Nath Das on his Punyatithi
Satyamev Jayate
Vande Mataram
JaiHo N JaiHind
https://t.co/yqmqlutZE4
#TajindarNath #AnnexationofHyderabad #GaaiHamariMata
#ModiJiWorldWideNo1 #Gyanvapi
#GyanvapiCase #Modi https://t.co/DJNV78gblc",hi,0,739
3,1413800747750150144,Tripathiabhii,1569600432414261248,2022-09-13 08:14:39+00:00,"महादेव की शक्ति पर हमें अनंत विश्वास है
अटूट होता है वो रिश्ता जो सीधा शिव से जोड़ता है 
काशी के हर जीव में शंकर है.... काशी के हर कंकर में शंकर है !
@iSinghApurva @BJP4India
@sambitswaraj
#GyanvapiCase
#GyanvapiMandir 
#GyanvapiMosque 
#GyanvapiShringarGauriCase 
#GYANWAPI https://t.co/BDR4HYmlxM",hi,0,136
4,1466724127645966339,Rajib020,1569599975864279041,2022-09-13 08:12:50+00:00,@UVToken #GyanvapiCase #valet2022 #val2022,qme,0,7
5,345261628,arvindrbansal,1569599757060026369,2022-09-13 08:11:58+00:00,"Scene from Lutyens house 😂🤣
#GyanvapiCase

Manish Sharma https://t.co/ELnnnF2dQ6",en,0,416
6,1566349817252806656,ViralNewsIND,1569599651581689856,2022-09-13 08:11:33+00:00,"@ThisISSameet #जय_श्री_राम‌‌ 

@ViralNewsIND

#GyanvapiCase #ज्ञानवापीमंदिर",qme,0,120
7,766993532,kumawat__saab,1569599133564141569,2022-09-13 08:09:29+00:00,"“अपने कर्तव्य पर अटल रहनेवाला ही सफल होता है।”
जय श्री राम 🙏 

  #Gyanvapi #GyanvapiCase #GyanvapiVerdict #GyanvapiMandir https://t.co/yCFdve2dwi",hi,0,9534
8,1187682636589719552,VishalPrasad777,1569598781460738048,2022-09-13 08:08:05+00:00,"#GyanvapiCase 
#Gyanvapi 
#Ram
#Jaishreeram
#india #IndianTwitter 
#hindu
#Gharwapsi 
#bjp
#SupremeCourtOfIndia 
#shivling
#bholenath
@VhpTripura 
@shamsharmashow https://t.co/RFhBennJI8",qme,0,19
9,13714602,anilpandey,1569598598077358080,2022-09-13 08:07:22+00:00,"#GyanvapiCase  QnA : ज्ञानवापी पर फैसले के बाद अब आगे क्या? 10 सवालों के जवाब से जानिए सब कुछ
https://t.co/21zcdDwChH",hi,0,194
10,844593733094006786,ugetprince,1569598537259954176,2022-09-13 08:07:07+00:00,@pathak__saab #GyanvapiCase,qme,0,4305
11,1096346665433260032,SureshA72699383,1569598522571509761,2022-09-13 08:07:04+00:00,Gyaanvaapi se agyantaa door kar di gayee hai. Ab gyaan or badega bharat main. Har Har mahadev 🙏 #Gyanvapi #GyanvapiCase @PMOIndia @BJP4India @Republic_Bharat @indiatvnews @ZeeNews @DelhiAajTak @abpnewshindi,hi,0,1238
12,1246316437968318464,donkijungnews,1569598508809994243,2022-09-13 08:07:00+00:00,"ज्ञानवापी मामला: ऑल इंडियन मुस्लिम पर्सनल ला बोर्ड ने जिला अदालत के फैसले को बताया 'निराशाजनक और दुःखदायक', कहा सांप्रदायिक सौहार्द को होगा नुकसान | Don Ki Jung 'News'
#GyanvapiCase #GyanvapiMosque #donkijungnews
@AIMPLB_Official https://t.co/cp22l3ords",hi,0,51
13,4713369014,amubilalhasan,1569598188566478848,2022-09-13 08:05:44+00:00,"Watch the eye opening book review
#Gyanvapi 
#GyanvapiCase 
#GyanvapiVerdict 
#GyanvapiMosque 
#gyanwapi https://t.co/q9JV70XVkg",en,0,117
14,919911014811942912,tolchintamani01,1569597981065879553,2022-09-13 08:04:55+00:00,"ये वक्त कुछ अलग है 🚩

क़ब्रों से खींचकर हम 
लाएँगे सच तुम्हारे 
आएँगे कटघरे में 
औरंगज़ेब सारे 💯

सारा हिसाब इक दिन 
ज़िल्ले इलाही देंगे 
पूछेगी जब अदालत 
पत्थर गवाही देंगे!💯💯💯💯

Manoj Muntashir सर ❤️❤️❤️

#HarHarMahadev #GyanvapiCase",hi,0,3574
15,1474650397427916801,ShaikhRizwanan2,1569597352952090624,2022-09-13 08:02:25+00:00,#GyanvapiCase,qht,0,18
16,1336359595,psisodiya7,1569597345805004801,2022-09-13 08:02:23+00:00,"जीवन की सुधा अध्यात्म के रस में है,
स्वयं ही भगवान शिव बनारस में है।

#GyanvapiCase https://t.co/yuX7K3mTjP",hi,0,4825
17,1302575935971971075,BhagwaRachit,1569596941788643328,2022-09-13 08:00:47+00:00,"100% Muslims know it is Shivling, 40% Hindus think it is fountain. That's the difference.

#GyanvapiCase #VaranasiCourt #Varanasi #Gyanvapi #GyanvapiVerdict #GyanvapiMandir",en,0,205
